2026-02-24 01:25:52,123 | INFO | Order=(1, 0, 0) progress 3825/4014 | fails=0 | elapsed=173.6s
2026-02-24 01:25:53,234 | INFO | Order=(1, 0, 0) progress 3850/4014 | fails=0 | elapsed=174.7s
2026-02-24 01:25:54,355 | INFO | Order=(1, 0, 0) progress 3875/4014 | fails=0 | elapsed=175.8s
2026-02-24 01:25:55,508 | INFO | Order=(1, 0, 0) progress 3900/4014 | fails=0 | elapsed=177.0s
2026-02-24 01:25:56,612 | INFO | Order=(1, 0, 0) progress 3925/4014 | fails=0 | elapsed=178.1s
2026-02-24 01:25:57,758 | INFO | Order=(1, 0, 0) progress 3950/4014 | fails=0 | elapsed=179.2s
2026-02-24 01:25:58,888 | INFO | Order=(1, 0, 0) progress 3975/4014 | fails=0 | elapsed=180.3s
2026-02-24 01:26:00,062 | INFO | Order=(1, 0, 0) progress 4000/4014 | fails=0 | elapsed=181.5s
2026-02-24 01:26:00,721 | INFO | Order=(1, 0, 0) progress 4014/4014 | fails=0 | elapsed=182.2s
2026-02-24 01:26:00,723 | INFO | Order=(1, 0, 0) RMSE=0.043896 | ok_preds=4014/4014 | preds=arimax_run\preds_order_1_0_0.csv
2026-02-24 01:26:00,729 | INFO | --- Trying order=(2, 0, 0) ---
2026-02-24 01:26:01,994 | INFO | Order=(2, 0, 0) progress 25/4014 | fails=0 | elapsed=1.3s
2026-02-24 01:26:03,262 | INFO | Order=(2, 0, 0) progress 50/4014 | fails=0 | elapsed=2.5s
2026-02-24 01:26:04,537 | INFO | Order=(2, 0, 0) progress 75/4014 | fails=0 | elapsed=3.8s
2026-02-24 01:26:05,770 | INFO | Order=(2, 0, 0) progress 100/4014 | fails=0 | elapsed=5.0s
2026-02-24 01:26:07,008 | INFO | Order=(2, 0, 0) progress 125/4014 | fails=0 | elapsed=6.3s
2026-02-24 01:26:08,223 | INFO | Order=(2, 0, 0) progress 150/4014 | fails=0 | elapsed=7.5s
2026-02-24 01:26:09,460 | INFO | Order=(2, 0, 0) progress 175/4014 | fails=0 | elapsed=8.7s
2026-02-24 01:26:10,739 | INFO | Order=(2, 0, 0) progress 200/4014 | fails=0 | elapsed=10.0s
2026-02-24 01:26:12,020 | INFO | Order=(2, 0, 0) progress 225/4014 | fails=0 | elapsed=11.3s
2026-02-24 01:26:13,270 | INFO | Order=(2, 0, 0) progress 250/4014 | fails=0 | elapsed=12.5s
2026-02-24 01:26:14,531 | INFO | Order=(2, 0, 0) progress 275/4014 | fails=0 | elapsed=13.8s
2026-02-24 01:26:15,785 | INFO | Order=(2, 0, 0) progress 300/4014 | fails=0 | elapsed=15.1s
2026-02-24 01:26:17,051 | INFO | Order=(2, 0, 0) progress 325/4014 | fails=0 | elapsed=16.3s
2026-02-24 01:26:18,282 | INFO | Order=(2, 0, 0) progress 350/4014 | fails=0 | elapsed=17.6s
2026-02-24 01:26:19,506 | INFO | Order=(2, 0, 0) progress 375/4014 | fails=0 | elapsed=18.8s
2026-02-24 01:26:20,781 | INFO | Order=(2, 0, 0) progress 400/4014 | fails=0 | elapsed=20.1s
2026-02-24 01:26:22,010 | INFO | Order=(2, 0, 0) progress 425/4014 | fails=0 | elapsed=21.3s
2026-02-24 01:26:23,262 | INFO | Order=(2, 0, 0) progress 450/4014 | fails=0 | elapsed=22.5s
2026-02-24 01:26:24,467 | INFO | Order=(2, 0, 0) progress 475/4014 | fails=0 | elapsed=23.7s
2026-02-24 01:26:25,761 | INFO | Order=(2, 0, 0) progress 500/4014 | fails=0 | elapsed=25.0s
2026-02-24 01:26:26,973 | INFO | Order=(2, 0, 0) progress 525/4014 | fails=0 | elapsed=26.2s
